Topic,Subtopic,ObjectiveName,LearningObjectives,Pre-requisites,vloookup,true?,
,,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division., Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,TRUE,
,,,,"
Addition can be done by counting forward from the given number.","
Addition can be done by counting forward from the given number.",TRUE,
,,,,"To find the difference between the two numbers, subtract from the bigger number.","To find the difference between the two numbers, subtract from the bigger number.",TRUE,
,Equivalent fractions,Test of Equivalence," Testing if 2 fractions are equivalent means to find out if 2 fractions have the same value 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,,,,,,
,,, We can test if 2 fractions are equivalent by cross multiplication ," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,,,A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,,,,,,
,Equivalent fractions,FINDING EQUIVALENT FRACTIONS BY MULTIPLICATION – 2 Methods,"Method 1: To find an equivalent fraction by multiplication, multiply the numerator and denominator of the fraction by any natural number, greater than "," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,,," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

"," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

",TRUE,
,,,"Method 2: Compounding - To find an equivalent fraction by multiplication, multiply the numerator and denominator of the fraction by the same natural number, other than 1, over and over again. "," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
"," Two or three Fractions are Equivalent if the amount or size they represent are considered to be the same but the number of parts is different. 
",TRUE,
,,,," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

"," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

",TRUE,
,Like and unlike fractions,"What are like Fractions?
 What are common denominators?"," The unit fractions that form a set of fractions will have the same denominators. 
"," The size of each part of a fraction is called a unit fraction. 
"," The size of each part of a fraction is called a unit fraction. 
",TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,, The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,"
 When denominators of 2 or more fractions are the same, the fractions are said to have common denominators.","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,,"
 A set of fractions that share a common denominator are called as Like Fractions. ","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,"
 Misconception: Fractions with same nr cannot be called as like fractions as the denominators indicate different sizes. ","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,,,,
,Like and unlike fractions,What are Unlike Fractions?," A set of fractions with different denominators are called unlike fractions

","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,," The unit fractions that forms both the fractions in unlike fractions, are different."," The size of each part of a fraction is called a unit fraction. 
"," The size of each part of a fraction is called a unit fraction. 
",TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,, Hence this set of fractions will have the different number of parts and parts are not equal in size. ,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Compare Like fractions - Visual," We compare numerators of the like fractions to see which is bigger or smaller
","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,, The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,," We use < > = to represent less than, greater than, equal to", The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,," 
 Ascending order and decending order arrangement of fractions ", The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,," To arrange numbers in ascending order, compare the numbers and arrange them from the lowest value to the highest value by placing < sign between the numbers.",,,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Add and Subtract Like Fractions.  ,"we add the numerator to find the number of parts considered in total and the denominator remains same. 
", The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,,"
Addition can be done by counting forward from the given number.","
Addition can be done by counting forward from the given number.",TRUE,
,,,Adding the denominators would change the number of parts which will result in the wrong fraction as denominators represent the total number of parts and the size of each part of the objects, The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,,"
Addition can be done by counting forward from the given number.","
Addition can be done by counting forward from the given number.",TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,, We subtract the numerators and keep the denominator to subtract like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,,"To find the difference between the two numbers, subtract from the bigger number.","To find the difference between the two numbers, subtract from the bigger number.",TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Add Unlike-Visuals and related misconceptions," Unlike fractions cannot be directly added as the fractions represent objects with different number of parts.
"," A set of fractions with different denominators are called unlike fractions

"," A set of fractions with different denominators are called unlike fractions

",TRUE,
,,,, Hence this set of fractions will have the different number of parts and parts are not equal in size. , Hence this set of fractions will have the different number of parts and parts are not equal in size. ,TRUE,
,,,,"
Addition can be done by counting forward from the given number.","
Addition can be done by counting forward from the given number.",TRUE,
,,, Finding Equivalent fractions of the given fractions the same denominator will help creating like fractions, The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

"," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

",TRUE,
,,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division., Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,TRUE,
,,, We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,," We add the numerator to find the number of parts considered in total and the denominator remains same. 
",,,
,,,," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

"," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

",TRUE,
,,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division., Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Convert Unlike to Like Numerical Fractions," Find equivalent fractions and identify the like fractions 



"," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

"," Multiplying any fraction by a fraction whose value is 1 yields its equivalent fraction.

",TRUE,
,,,, Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division., Both the numerator and denominator should be divided by the same number to form an equivalent fraction by division.,TRUE,
,,,, The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,, Find a number that is a common multiple for both denominators will help us find common denominator. Finding this common multiple can be done by finding LCM, Multiples that are common to two or more numbers are called as the common multiples of those numbers. , Multiples that are common to two or more numbers are called as the common multiples of those numbers. ,TRUE,
,,,," The lowest common multiple is the smallest multiple shared by two or more numbers.
",,,
,,,,"
 When denominators of 2 or more fractions are the same, the fractions are said to have common denominators.","
 When denominators of 2 or more fractions are the same, the fractions are said to have common denominators.",TRUE,
,,,  Conversion of unlike to like fractions by LCM Method (Find LCM and form ef as per LCM as denominator), The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,," The lowest common multiple is the smallest multiple shared by two or more numbers.
",,,
,,, Conversion of Unlike to  Like fractions by Cross Multiplication Method, The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions., The set of fractions will have the same number of parts and are equal in size. Those set of fractions with same denominators are called like fractions.,TRUE,
,,,,A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,, Cross multiplication is a short-cut of the lcm method ,A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,,," The lowest common multiple is the smallest multiple shared by two or more numbers.
",,,
,"Comparison, Addition and Subtraction of Fractions",Comparison of Unlike Fractions," Since Unlike Fractions represents objects whose parts have different sizes, we cannot directly compare the fractions just by looking at the numerators and denominators.
 

"," A set of fractions with different denominators are called unlike fractions

"," A set of fractions with different denominators are called unlike fractions

",TRUE,
,,,, Hence this set of fractions will have the different number of parts and parts are not equal in size. , Hence this set of fractions will have the different number of parts and parts are not equal in size. ,TRUE,
,,, We compare Unlike Fractions by converting unlike fractions to Like Fractions and then comparing the Like Fractions ,  Conversion of unlike to like fractions by LCM Method (Find LCM and form ef as per LCM as denominator),  Conversion of unlike to like fractions by LCM Method (Find LCM and form ef as per LCM as denominator),TRUE,
,,,," We compare numerators of the like fractions to see which is bigger or smaller
"," We compare numerators of the like fractions to see which is bigger or smaller
",TRUE,
,,, Misconception: user compares numbers in fractions directly ," A set of fractions with different denominators are called unlike fractions

"," A set of fractions with different denominators are called unlike fractions

",TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Subtraction of Unlike Fractions,We convert unlike to like fractions and then subtract the like fractions ,  Conversion of unlike to like fractions by LCM Method (Find LCM and form ef as per LCM as denominator),  Conversion of unlike to like fractions by LCM Method (Find LCM and form ef as per LCM as denominator),TRUE,
,,,, We subtract the numerators and keep the denominator to subtract like fractions., We subtract the numerators and keep the denominator to subtract like fractions.,TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Add Unlike - Numerical, We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions.,  Conversion of unlike to like fractions by LCM Method (Find LCM and form ef as per LCM as denominator),  Conversion of unlike to like fractions by LCM Method (Find LCM and form ef as per LCM as denominator),TRUE,
,,,,We add the numerator to find the number of parts considered in total and the denominator remains same. ,"we add the numerator to find the number of parts considered in total and the denominator remains same. 
",FALSE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Addition of Number and a fraction," When you add a whole number and a proper fraction, you get a mixed fraction as a result.


",Whole numbers include all natural numbers and 0. ,Whole numbers include all natural numbers and 0. ,TRUE,
,,,, All fractions whose nr is lesser than dr are called proper fractions., All fractions whose nr is lesser than dr are called proper fractions.,TRUE,
,,,,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,," To add a whole number and an improper fraction, you need to convert the IF to MF and add the whole numbers and resulting proper fraction", To convert Improper Fraction to Mixed Fraction means to find how many wholes are there and how many fractions are there in the improper fraction., To convert Improper Fraction to Mixed Fraction means to find how many wholes are there and how many fractions are there in the improper fraction.,TRUE,
,,,,"
Addition can be done by counting forward from the given number.","
Addition can be done by counting forward from the given number.",TRUE,
,,,,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,," If we express the whole number as a fraction and add both the fractions, you will get an improper fraction."," Any number can be expressed as a fraction by making the denominator as 1.

"," Any number can be expressed as a fraction by making the denominator as 1.

",TRUE,
,,,, We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions., We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions.,TRUE,
,,, Converting a mixed fraction to improper fraction is same as adding a whole number as a fraction with the fraction part of the mixed fraction.," Any number can be expressed as a fraction by making the denominator as 1.

"," Any number can be expressed as a fraction by making the denominator as 1.

",TRUE,
,,,, We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions., We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions.,TRUE,
,,,, Deduction of formula for conversion., Deduction of formula for conversion.,TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Comparison of Mixed Fraction," If whole number part of the mixed fractions are different, bigger the whole number part, bigger the mixed fraction and vice versa.
","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. "," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",TRUE,
,,," If whole number part of the mixed fractions are the same, compare the fraction parts.","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,, We compare Unlike Fractions by converting unlike fractions to Like Fractions and then comparing the Like Fractions , We compare Unlike Fractions by converting unlike fractions to Like Fractions and then comparing the Like Fractions ,TRUE,
,,,," We compare numerators of the like fractions to see which is bigger or smaller
"," We compare numerators of the like fractions to see which is bigger or smaller
",TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Properties of Addition of fraction," Commutative Property
If we change the order of fraction in which the fractions are added, the result of addition does NOT change.


", We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions., We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions.,TRUE,
,,,,"Commutative Property
The commutative property for addition of whole numbers states that if the order of numbers added is reversed, the sum remains the same.  
i.e., for any two whole numbers a and b, a + b = b + a.","Commutative Property
The commutative property for addition of whole numbers states that if the order of numbers added is reversed, the sum remains the same.  
i.e., for any two whole numbers a and b, a + b = b + a.",TRUE,
,,," Associative Property
If we change the GROUP of fraction in which the fractions are added, the result of addition does NOT change.", We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions., We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions.,TRUE,
,,,," Associative Property                                                                                                        
(i) Associative property gets its name from the word “Associate” and it refers to the grouping of numbers. Grouping means the use of parentheses or brackets to group numbers.                                                                                                                 
(ii) The associative property for addition of whole numbers states that the result of addition of more than two whole numbers is always the same irrespective of the grouping of whole numbers.  i.e. if a, b and c are any three whole numbers then
a + (b + c) = (a + b) + c"," Associative Property                                                                                                        
(i) Associative property gets its name from the word “Associate” and it refers to the grouping of numbers. Grouping means the use of parentheses or brackets to group numbers.                                                                                                                 
(ii) The associative property for addition of whole numbers states that the result of addition of more than two whole numbers is always the same irrespective of the grouping of whole numbers.  i.e. if a, b and c are any three whole numbers then
a + (b + c) = (a + b) + c",TRUE,
,,," Additive Identity Property
If we add 0 to any fraction the result will be the fraction itself. ", We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions., We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions.,TRUE,
,,,,"Additive Identity                                                                                                               
 The identity property for addition of whole numbers states that adding 0 to a whole number does not change the value of the number.
 i.e. if a is a whole number, then a + 0 = a. 
Thus the 0 is additive identity for whole numbers.
","Additive Identity                                                                                                               
 The identity property for addition of whole numbers states that adding 0 to a whole number does not change the value of the number.
 i.e. if a is a whole number, then a + 0 = a. 
Thus the 0 is additive identity for whole numbers.
",TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Addition and Subtraction of Mixed Fractions - 1,Addition of mixed fractions can be done using two methods. This relates to Conversion of mixed fraction to improper fraction. , Deduction of formula for conversion., Deduction of formula for conversion.,TRUE,
,,,, We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions., We can add unlike fractions by converting the unlike to like fractions and then adding the like fractions.,TRUE,
,,,,We convert unlike to like fractions and then subtract the like fractions ,We convert unlike to like fractions and then subtract the like fractions ,TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Addition and Subtraction of Mixed Fractions - 2,Addition of mixed fractions can be done using two methods. This relates to Adding Mixed Fraction by Parts. , Converting a mixed fraction to improper fraction is same as adding a whole number as a fraction with the fraction part of the mixed fraction., Converting a mixed fraction to improper fraction is same as adding a whole number as a fraction with the fraction part of the mixed fraction.,TRUE,
,,,,Addition of unlike fractions ,,,
,,,,"  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>","  Since, mixed fractions are combination of whole numbers and a proper fraction, it has the form < box box/ box>",TRUE,
,,,,,,,
,"Comparison, Addition and Subtraction of Fractions",Properties of Subtraction of Fractions," Commutative Property
Commutative Property does not hold true for subtraction of fraction, since changing the order will change the results. 
",We convert unlike to like fractions and then subtract the like fractions ,We convert unlike to like fractions and then subtract the like fractions ,TRUE,
,,,,"Commutative Property                                                                                                      
The commutative property for subtraction of whole numbers states that if the order of whole numbers subtracted is reversed, the difference between them changes. 
i.e., for any two whole numbers a and b, a - b ≠ b- a.","Commutative Property                                                                                                      
The commutative property for subtraction of whole numbers states that if the order of whole numbers subtracted is reversed, the difference between them changes. 
i.e., for any two whole numbers a and b, a - b ≠ b- a.",TRUE,
,,," Associative Property
Associative Property does not hold true for subtraction of fraction, since changing the groups will change the results. ",We convert unlike to like fractions and then subtract the like fractions ,We convert unlike to like fractions and then subtract the like fractions ,TRUE,
,,,,"Associative Property                                                                                                 
The associative property for subtraction of whole numbers states that when subtracting three whole numbers, the result changes depending on how the three whole  numbers are grouped. i.e. if a, b and c are any three whole numbers then
a - (b - c)  ≠ (a - b) - c","Associative Property                                                                                                 
The associative property for subtraction of whole numbers states that when subtracting three whole numbers, the result changes depending on how the three whole  numbers are grouped. i.e. if a, b and c are any three whole numbers then
a - (b - c)  ≠ (a - b) - c",TRUE,
,,,,,,,
,Multiplication of Fractions,Multipication of a fraction and a number ( Fraction of a quantity)," Multipication of a fraction and a number is finding a fraction of a quantity
",A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,, Multiplying a number (n) and a fraction is adding a fraction n times.,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,"Multiplication means to add equal groups of objects. When we multiply, the number of objects in the group increases. ","Multiplication means to add equal groups of objects. When we multiply, the number of objects in the group increases. ",TRUE,
,,," To multiply a fraction and a number, we multiply the whole number and the numerator and keep the denominator as same. We can also express the whole number as a fraction and then multiply them.",A multiplication fact is the product of two specific numbers.,A multiplication fact is the product of two specific numbers.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,,,,
,Multiplication of Fractions,Properties of Multiplication of fractions," Commutative Property
Commutative Property of multiplication states that if we change the ORDER of fractions in which they are multiplied, the result of multiplication does NOT change. 



"," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,"Commutative Property
The commutative property for multiplication of whole numbers states that if the order of numbers multiplied is reversed, the product remains the same.  
i.e., for any two whole numbers a and b, a x b = b x a.","Commutative Property
The commutative property for multiplication of whole numbers states that if the order of numbers multiplied is reversed, the product remains the same.  
i.e., for any two whole numbers a and b, a x b = b x a.",TRUE,
,,," Associative Property
Associative Property of multiplication states that the product of three or more fractions remains the same regardless of how the fractions are GROUPED."," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,"Associative Property                                                                                        
The associative property for multiplication of whole numbers states that the result of multiplication of more than two whole numbers is always the same irrespective of the grouping of whole numbers.  i.e. if a, b and c are any three whole numbers then
 (a × b) × c = a × (b × c).","Associative Property                                                                                        
The associative property for multiplication of whole numbers states that the result of multiplication of more than two whole numbers is always the same irrespective of the grouping of whole numbers.  i.e. if a, b and c are any three whole numbers then
 (a × b) × c = a × (b × c).",TRUE,
,,," Multiplicative Identity Property
1 is the multiplicative identity of fractions, since when we multiply any fraction by 1, the result of multiplication is the fraction itself. "," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,"Multiplicative Identity 
The identity property of multiplication states that multiplying a number by 1 does not change the value of the number. 
i.e. a is any whole number, then a × 1 = a = 1 × a.                                                                                                
Thus 1 is the multiplicative identity for whole numbers. ","Multiplicative Identity 
The identity property of multiplication states that multiplying a number by 1 does not change the value of the number. 
i.e. a is any whole number, then a × 1 = a = 1 × a.                                                                                                
Thus 1 is the multiplicative identity for whole numbers. ",TRUE,
,,," Zero Property
Zero property states that on multiplying any fraction by 0, we get 0 as the result."," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,"Multiplication by 0:
Multiplication property of zero states that on multiplying any whole number by zero the result is always zero
i.e. a is any whole number, then a × 0 = 0.                ","Multiplication by 0:
Multiplication property of zero states that on multiplying any whole number by zero the result is always zero
i.e. a is any whole number, then a × 0 = 0.                ",TRUE,
,,," Distributive Property of multiplication over addition and subtraction
This property states that multiplication of a fraction can be distributed over addition and subtraction of fractions. "," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,"The Distributive Property                                                                                                 
(i) The Distributive property is applied when we need to multiply a number by the sum or the difference of two numbers.                                                                                                                 
(ii) The distributive property or distributive law states that multiplication of whole numbers is distributive over addition and subtraction.
i.e. if a, b and c are any three whole numbers then 
a × (b + c) = a x b + a x c     
a × (b - c) = a x b - a x c                                                                                                    ","The Distributive Property                                                                                                 
(i) The Distributive property is applied when we need to multiply a number by the sum or the difference of two numbers.                                                                                                                 
(ii) The distributive property or distributive law states that multiplication of whole numbers is distributive over addition and subtraction.
i.e. if a, b and c are any three whole numbers then 
a × (b + c) = a x b + a x c     
a × (b - c) = a x b - a x c                                                                                                    ",TRUE,
,,,,Addition of unlike fractions ,,,
,,,,We convert unlike to like fractions and then subtract the like fractions ,We convert unlike to like fractions and then subtract the like fractions ,TRUE,
,,,,,,,
,Reciprocal,What are reciprocals and how to find them?," b/a is called the reciprocal of a/b


","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,"2 .When we multiply a fraction, say a/b with a fraction b/a, what we get as a result is  Reciprocal is also known as multiplicative inverse. So we can say multiplying a fraction or a number with its reciprocal of multiplicative inverse gives 1 as the result."," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,," Reciprocal of any number is 1/ the number since a number can be written as number/ The product of any number and its reciprocal is always 1, except for 0."," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,"
 Zero is an exception to reciprocals because, if reciprocal of 0 is 1/0, then 0 and 1/0 should be equal to  but 1/0 x 0 ≠ "," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,"Division by 0                                                                        
Zero divided by a non- zero whole number is zero. i.e. if a is a whole numbers other than zero, then 0 ÷ a = 0.
A whole number divided by 0 is undefined because we cannot divide a number into 0 parts. ","Division by 0                                                                        
Zero divided by a non- zero whole number is zero. i.e. if a is a whole numbers other than zero, then 0 ÷ a = 0.
A whole number divided by 0 is undefined because we cannot divide a number into 0 parts. ",TRUE,
,,," To find reciprocal of mf, we convert mf to if first and then find its reciprocal.", Number of partition of whole number of MF is same as the number of partition proper fraction of MF has., Number of partition of whole number of MF is same as the number of partition proper fraction of MF has.,TRUE,
,,,," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,"
 Reciprocal of a reciprocal is the fraction itself."," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,,,,
,Division of fractions,What it means to divide 2 fractions?,One big fraction can be split into many smaller fractions equally,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,Division of a bigger fraction by a smaller fraction tells us how many units of smaller fractions can make a bigger fraction.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,Division of fractions,Divsion of a number by a fraction,To divide a whole number by a fraction means to divide the whole number so that all parts are equal to the fraction and to find how many of the fraction can the whole number can hold. ,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
